TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
39.473922902,-187.711,14.1599,-5.38722,6.03098,1.90611,4.777,-1.06866,1.47393,3.78755,1.26002,0.852067,-0.875275,-2.59809,-0.731114,-0.170297,1.86455,-1.20471,-0.425081,3.27184,-0.566528,-2.3855
39.497142857,-185.865,12.8492,-4.72391,6.38061,2.41246,2.16145,-6.4275,-0.435524,2.46838,2.54204,1.99893,-2.63685,-2.10986,0.930526,-0.599751,-1.35341,-0.535012,-1.35339,0.0338029,-1.61778,-1.7926
39.520362812,-184.938,15.5205,-7.73098,2.60982,3.31338,4.77791,-2.43636,0.129676,-1.93178,0.938516,1.74298,0.839454,0.0672533,-1.9566,-0.897275,0.555161,0.936145,-0.119751,-1.57817,-2.82385,-1.08049
39.543582766,-184.095,17.6091,-7.60635,5.24515,3.28543,4.68458,-1.79048,0.436746,-0.81759,1.13346,-1.05779,-1.38375,-0.730035,1.49251,0.665059,0.243127,-2.22397,-0.229308,0.139938,-3.43099,-2.32044
39.566802721,-187.531,16.9159,-7.76618,6.76571,4.69893,5.73079,-2.82926,-1.55453,-0.172384,3.42661,1.57324,0.645125,0.339185,0.0604201,0.616214,-1.7619,-4.01836,-1.34691,-1.79393,-1.95164,-0.440057
39.590022676,-186.976,19.2198,-8.42946,3.74004,-0.0269171,4.24747,-2.65348,-2.35209,-0.364777,2.77492,-0.883938,0.216868,0.811994,0.272075,0.466745,-0.242047,-3.63874,0.768214,-0.136678,-2.03276,-1.54869
39.613242630,-179.814,15.3373,-8.44308,1.10171,-0.171765,2.04356,-1.97354,-1.31086,-1.50157,2.03691,3.18214,1.05205,0.805651,1.3408,-0.745644,-1.16309,-0.526678,2.33976,1.03198,0.193886,1.30908
39.636462585,-170.873,15.1265,-6.58532,-0.0343683,2.41572,1.17245,-2.95824,-1.85184,-0.410572,-1.90105,1.44064,-1.15937,-0.833055,1.99687,-2.07305,-0.825741,-3.21436,-1.74404,-0.798368,-1.62092,-2.54339
39.659682540,-182.494,12.346,0.676844,1.2632,8.31352,7.07674,0.655728,5.04483,-0.381108,3.4107,0.165307,1.16347,0.339731,1.34059,-0.278211,1.15903,-0.117226,-0.118923,-1.98828,0.14004,-0.75816
39.682902494,-185.593,13.0037,-5.65826,0.965139,5.26608,9.5694,-2.59376,4.99901,-1.05267,4.15398,-1.64129,2.70184,0.818299,1.07474,0.143912,1.0708,0.615133,0.755906,0.309731,0.0195057,0.363785
39.706122449,-186.349,16.0839,-7.6597,2.38497,1.37204,7.24122,-2.9525,4.05723,-1.68983,3.17584,-3.1908,-0.610141,-1.89959,1.43934,0.0565291,-0.725617,-1.14699,-1.86259,-1.32572,-1.89941,-1.58107
39.729342404,-187.043,11.7572,-8.10367,2.82878,3.09989,5.34594,-1.68825,4.08462,-0.279185,2.24534,0.861362,2.33723,0.734296,4.13007,1.30601,-0.0815066,-2.06779,-1.43329,-0.471996,0.443105,0.474517
39.752562358,-189.733,15.9632,-7.44807,5.39771,2.67317,6.00063,-6.52533,0.380926,-2.59449,4.99076,1.47822,2.39459,-2.73445,-0.944394,0.468641,-0.160464,-0.926097,-1.28015,-3.10572,-3.16837,-1.23394
39.775782313,-189.28,20.2962,-6.95621,3.53651,2.23655,7.02383,-4.7281,0.769899,-2.41538,5.51568,1.73606,4.49093,0.281738,0.84699,-0.413116,2.69147,-0.184172,-1.51989,-0.660841,-1.98252,-1.61699
39.799002268,-192.014,20.1609,-8.63323,5.66413,-1.76313,4.46468,-6.99843,1.35634,-2.34611,4.11371,0.262929,1.67399,-0.444464,0.941252,1.50703,1.78355,0.0920593,0.833705,-0.822056,-0.702307,0.217476
39.822222222,-189.766,20.6908,-3.72386,8.41588,1.20587,4.74691,-5.55126,2.86521,-0.530352,3.42047,0.187944,1.73018,0.907237,-0.421296,0.12095,0.932476,-0.65206,-0.609289,-1.01791,-2.41101,-1.61122
39.845442177,-191.925,18.1008,-11.6933,6.6258,0.215071,6.09603,-5.40187,1.62345,-3.06262,0.857609,-1.67627,-0.891772,-1.50364,2.34125,1.10816,-0.672722,-1.14929,-1.38568,-0.366887,-0.250151,1.05908
39.868662132,-183.488,28.0554,-9.07292,5.67669,-2.8997,3.81298,-6.59872,1.54779,-1.91925,1.72365,0.456691,0.232821,-0.905103,2.18155,-0.707221,0.166379,-0.0170474,-0.618827,-1.53534,-1.0293,-0.45306
39.891882086,-192.59,22.5014,-9.43684,11.1492,3.69741,8.84953,-3.17842,5.43957,0.107817,-0.820056,-1.24457,0.0143213,2.12407,2.22585,0.392753,-0.258844,-0.320569,1.54929,1.64062,1.06463,1.24998
39.915102041,-183.722,20.7398,-10.7655,6.77781,3.59678,7.55934,-7.61217,-0.18029,-2.22616,-2.43976,0.183382,-0.520686,-1.33592,2.10538,-1.45536,1.68864,0.0699892,-0.136969,0.533398,-1.18501,1.46205
39.938321995,-182.168,18.1366,-10.5669,7.58663,2.68551,3.12881,-5.57739,-1.07152,0.461085,-0.516543,4.34696,2.83304,-0.452961,4.40521,0.794035,1.79434,-1.63495,-1.32049,-2.63683,0.937535,3.15489
39.961541950,-177.911,16.0697,-10.9852,4.09597,3.28313,4.61668,-4.67656,-0.594435,0.151012,-2.87638,0.0924101,2.79711,-3.78796,4.40721,1.59956,0.166899,-3.22904,-2.16609,-4.34197,-0.877519,3.51849
39.984761905,-180.309,15.7111,-13.2166,5.00944,0.0875458,3.16385,-0.843783,-1.28197,1.00208,0.973684,1.58067,3.81709,-4.24004,3.31081,2.41936,2.69128,-4.99313,-0.0826273,-3.10829,-1.71054,4.77561
40.007981859,-178.332,21.0178,-17.2292,3.58524,-1.23058,7.12161,-0.906013,-1.22442,2.81817,-0.167771,0.803375,-0.265794,-4.5712,0.352988,0.372269,2.39742,-1.97353,-0.701712,-3.1597,-0.681592,3.94715
40.031201814,-188.451,22.4571,-17.416,2.58181,-2.11994,4.46426,2.04713,2.97269,-0.0480989,-0.499628,-0.231162,1.75543,-1.09632,1.99145,-0.62494,1.62765,-1.39581,0.0431334,-4.13494,-3.12772,3.18086
40.054421769,-190.063,25.1269,-13.7666,0.833156,-4.78702,5.18673,-0.577247,2.57846,2.10175,-0.518808,0.800787,3.39185,0.60452,2.40218,1.25445,0.843128,-0.942943,-0.803167,-3.26777,-5.31745,-1.70367
40.077641723,-166.254,15.514,-13.3824,1.3822,-3.48587,2.92098,2.08701,0.0268201,-1.50658,-1.11888,-2.33107,-3.63301,-3.32407,0.703163,-0.168418,-1.46354,-2.36878,0.0526122,-1.05927,-2.77388,0.568173
40.100861678,-175.633,12.4586,-0.811761,-1.57477,0.543594,0.485335,0.553431,4.21979,0.62437,0.385058,-2.16744,-2.24319,-3.39379,0.33596,-0.623291,0.0669271,-0.507212,-0.326558,-0.476623,0.521836,-0.253282
40.124081633,-180.421,13.9804,-2.75716,-0.0980652,-3.1267,3.72274,-2.91758,7.00419,0.271307,1.86501,-1.70742,0.539848,-0.19987,3.36211,-1.34565,-0.203914,-1.24453,-0.615502,0.940332,1.78809,1.98066
40.147301587,-185.461,15.4585,-6.03975,-0.433663,-0.537255,3.80745,-4.49582,2.8983,-3.88077,2.76163,-4.03403,2.01473,1.34256,3.95197,0.66018,-0.702614,-1.74049,-0.938095,0.87458,0.542327,-0.827398
40.170521542,-183.125,17.9765,-2.04168,3.68002,0.704145,4.37969,-4.76353,1.22282,-4.58514,-1.24413,-4.59725,-2.36982,-0.20475,2.19431,3.52318,2.69445,-0.418776,-0.835193,-2.1779,-1.61986,-1.57153
40.193741497,-187.992,15.7767,-4.03472,2.40268,1.31241,9.20006,-1.80069,5.73798,-2.22327,1.04022,-2.03414,-1.79385,-4.46123,0.214779,-1.37623,-0.912441,-1.08477,-0.805945,-0.0612044,-0.781035,-0.359228
40.216961451,-191.747,16.4529,-6.415,3.03782,1.1563,7.04542,-3.0692,5.18864,-4.30951,1.61599,-1.41722,1.78502,-3.4042,-0.695973,-1.25032,-0.753431,-0.890475,-1.2406,-1.23872,-2.98978,-0.613811
40.240181406,-190.929,16.9242,-7.17722,4.01746,0.467628,8.21401,-5.37056,3.72093,-0.868782,2.9932,-1.8663,0.976976,1.90921,4.07236,1.85865,1.50093,1.37602,0.692113,-1.46073,-1.8804,-0.894966
40.263401361,-191.372,17.1893,-6.9059,3.66172,-0.595762,8.74215,-3.75711,3.76639,-2.23276,2.42737,-2.02087,1.12732,-0.673201,1.19258,0.514119,0.872891,0.390508,0.623132,0.435591,-0.794137,-1.97245
40.286621315,-178.481,2.46469,-5.16374,8.29827,-2.06746,5.23362,-0.0594764,-1.70625,-0.821242,4.40778,1.28418,0.996697,1.36236,-1.14998,-1.11594,-1.39804,-2.43996,-0.975713,-1.294,-0.473087,0.429197
40.309841270,-171.551,13.4999,-7.62973,11.7798,-1.57394,3.70807,-1.7872,-1.96922,-5.2015,-0.804463,-3.75443,-1.34566,-1.99666,-0.854148,-1.44913,0.0246922,-1.24091,-2.19538,-2.74764,-0.689252,-1.72023
40.333061224,-186.246,20.5109,-5.52108,9.83346,-0.63243,6.52121,-3.56761,-0.49663,0.526896,1.83666,-2.45996,3.20644,0.948159,1.24315,3.62955,1.26906,-1.40187,0.555318,1.34804,-0.400883,1.22679
40.356281179,-193.607,24.9578,-7.00919,0.902653,-4.74935,1.77609,-2.75839,1.49336,2.12794,2.38945,4.10638,5.96189,1.19816,-2.51428,-0.401958,-0.809878,-4.16794,0.0768024,0.652371,-1.84531,0.978653
40.379501134,-196.466,27.5421,-6.2131,-1.8347,-4.2009,4.21692,-3.52304,4.75011,2.52181,4.56938,-3.0475,-0.646644,-0.0483003,0.445677,-2.27639,0.145356,-0.784127,0.528786,3.00534,3.84773,0.757361
40.402721088,-198.849,23.5031,-12.8147,2.57451,-5.20832,6.46135,-4.38533,0.807547,0.0348023,-2.25326,-6.3185,-0.881145,-0.877528,2.09912,-1.1535,-1.34565,-0.124826,-2.47396,-3.26156,-1.00043,-2.28927
40.425941043,-192.791,24.1957,-11.7674,2.33356,-5.02116,4.73484,-1.7896,5.86892,4.50349,1.09014,-5.13062,-2.62724,0.728469,2.51704,1.47461,1.77643,1.64476,-1.05225,-0.594548,-1.89131,-2.07362
40.449160998,-193.149,24.4439,-10.5184,2.07887,-8.52122,4.89959,-1.78748,6.28447,5.25339,-2.08873,-2.99404,-0.0801834,-3.20595,-0.288908,2.36416,1.18935,-1.25927,-2.74916,-2.0816,-0.727258,0.14398
40.472380952,-187.904,23.6698,-8.78477,1.38026,-6.8186,6.22264,-1.90852,5.63007,5.44109,-1.67828,-3.40293,-1.31296,-2.67437,1.49587,1.10402,0.494444,0.486951,-1.50487,-0.139792,-0.00672086,-2.15405
40.495600907,-194.471,23.3757,-9.18124,1.08494,-6.72117,8.169,1.83896,4.9828,4.53587,-1.56838,-3.38467,-1.86014,-3.17215,0.985889,-0.245754,0.0470309,-1.50995,-1.65055,0.0934684,-0.803719,-1.71293
40.518820862,-186.143,17.9388,-10.8632,-4.90401,-4.81614,1.09345,0.375884,6.00018,2.1084,-1.84988,-2.18613,0.528954,0.162216,0.82411,3.01235,1.02796,0.435324,1.63522,1.02204,-1.88732,-2.53975
40.542040816,-189.341,20.7497,-3.67526,-1.32366,2.11877,5.10909,1.82637,5.14321,4.21694,2.08893,-3.44232,-1.84825,-0.595878,2.72017,0.799006,2.83626,0.941278,1.90789,1.26827,-0.75559,-4.17469
40.565260771,-189.144,21.7579,-6.76375,-1.53236,-0.873873,3.09421,-1.93789,4.82118,4.05235,3.54444,-1.34309,-0.305249,-1.88685,3.17279,0.966226,0.731468,-1.95333,-0.757553,-0.682512,0.880455,0.252692
